Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Indicadores,€/MWh,€/MWh.1,€/MWh.2,€/MWh.3,€/MWh.4,€/MWh.5,€/MWh.6,€/MWh.7,€/MWh.8,€/MWh.9,€/MWh.10,€/MWh.11,€/MWh.12,€/MWh.13,€/MWh.14,€/MWh.15,€/MWh.16,€/MWh.17,€/MWh.18,€/MWh.19,€/MWh.20,€/MWh.21,€/MWh.22,€/MWh.23,€/MWh.24,€/MWh.25,€/MWh.26,€/MWh.27,€/MWh.28,€/MWh.29,€/MWh.30,€/MWh.31,€/MWh.32,€/MWh.33,€/MWh.34,€/MWh.35,€/MWh.36,€/MWh.37,€/MWh.38,€/MWh.39,€/MWh.40,€/MWh.41,€/MWh.42,€/MWh.43,€/MWh.44,€/MWh.45,€/MWh.46,€/MWh.47,€/MWh.48,€/MWh.49,€/MWh.50,€/MWh.51,€/MWh.52,€/MWh.53,€/MWh.54,€/MWh.55,€/MWh.56,€/MWh.57,€/MWh.58,€/MWh.59,€/MWh.60,€/MWh.61,€/MWh.62,€/MWh.63,€/MWh.64,€/MWh.65,€/MWh.66,€/MWh.67,€/MWh.68,€/MWh.69,€/MWh.70,€/MWh.71,€/MWh.72,€/MWh.73,€/MWh.74,€/MWh.75,€/MWh.76,€/MWh.77,€/MWh.78,€/MWh.79,€/MWh.80,€/MWh.81,€/MWh.82,€/MWh.83,€/MWh.84,€/MWh.85,€/MWh.86,€/MWh.87,€/MWh.88,€/MWh.89,€/MWh.90,€/MWh.91,€/MWh.92,€/MWh.93,€/MWh.94,€/MWh.95
UPLTROR,Bajar,PESOTIL,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99",,"-189,99",,,,,,,,,,,,,,,
UPLTROR,Bajar,PETABLA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99","-189,99",,"-189,99",,,,,,,,,,,,,,,
UPLTROR,Bajar,PEVER,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-250,00","-250,00","-250,00","-250,00","-250,00","-250,00","-250,00","-250,00",,"-250,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,REXTRA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,00",,"-100,00","-100,00","-100,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,RRUICES,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,SESAWIN,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,SFERA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00","-500,00",,,"-500,00","-500,00","-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,SGCANO,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00",,,,,,,"-500,00","-500,00","-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,SHEPV03,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00",,"-100,00","-100,00",,,,"-100,00",,,"-100,00","-100,00",,"-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00","-100,00",,,,,,,,,
UPLTROR,Bajar,SIL,1,No aplica,Negativo,,"-25,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,SKISSO,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00","-500,00",,"-500,00","-500,00","-500,00","-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,SPLEX,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00","-500,00","-500,00","-500,00","-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,TOLEXTR,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,00",,"-100,00","-100,00","-100,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPACUI,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPADGI,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPALAMB,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPARCH2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00",,,,,,,,,"-500,00",,,,,,,"-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPARCHI,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00",,,"-500,00","-500,00",,,,,,,,,,,,,,,,,,,,"-500,00",,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPCERN,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,,"-200,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPCIMER,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00",,,,,"-500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPCORAC,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPEBRO,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPEBROH,18,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPGINES,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPIZNI,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPKEN1,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,,,"-200,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPKEN2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,,,"-200,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPKEN3,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00",,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPMONCA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00",,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPMUGA2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPMUGA3,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPMUGAI,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,"-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPRCIER,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,,,,,,,,,,,,,
UPLTROR,Bajar,UPSASO,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLTROR,Bajar,UPTREG1,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00",,,"-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPTREG2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-500,00",,,"-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-500,00","-200,00","-200,00","-200,00","-200,00","-200,00","-200,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPTREV1,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00","-450,00","-450,00","-450,00","-450,00","-450,00",,"-450,00",,,,,,,,,,,,,,,
UPLTROR,Bajar,UPTREV2,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-450,00","-450,00","-450,00","-450,00","-450,00","-450,00","-450,00","-450,00",,"-450,00",,,,,,,,,,,,,,,
UPLMER,Bajar,ALBOLOT,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,02","-0,01","-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLMER,Bajar,CHVADOM,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,02","-0,01","-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLMER,Bajar,EREA,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLMER,Bajar,VISFV21,10,No aplica,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,02",,"-0,02","-0,01","-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
